code,city,pref,total_pop,area_km2,n_stations,pop_density,station_density
13116,豊島区,東京都,301599,13.04481429701746,30,23120.22180867358,2.299764436421233
13114,中野区,東京都,344880,15.620528862340475,14,22078.637864270462,0.8962564663065021
13118,荒川区,東京都,217475,10.176918654868505,28,21369.434833397514,2.7513239468220734
13105,文京区,東京都,240069,11.282062850327106,20,21278.82136315519,1.7727254550279457
13106,台東区,東京都,211444,10.122624506926995,23,20888.258756936717,2.272138019568039
13107,墨田区,東京都,272085,13.851819241292592,16,19642.546243233406,1.1550829332441497
13110,目黒区,東京都,288088,14.710179849377196,10,19584.260896184565,0.6798013418186306
13104,新宿区,東京都,349385,18.222655260945523,41,19173.111437211668,2.249946531550234
13109,品川区,東京都,422488,22.795336053501728,34,18533.966729352036,1.4915331767954811
13119,板橋区,東京都,584483,32.19664479556699,20,18153.53754129296,0.6211827389776251
14133,川崎市中原区,神奈川,263683,14.725873163015532,9,17906.10288986107,0.6111691918278753
13115,杉並区,東京都,591108,34.05670738192874,19,17356.580992138286,0.5578930395978864
13117,北区,東京都,355213,20.607508319676192,20,17237.06692190633,0.9705200497676791
14132,川崎市幸区,神奈川,171119,9.982822732241953,4,17141.344145812545,0.4006882729752405
13102,中央区,東京都,169179,10.244999693953568,37,16513.324065772955,3.611517921453604
13112,世田谷区,東京都,943664,58.067591343179046,40,16251.130418393843,0.688852405873016
13113,渋谷区,東京都,243883,15.09023117666851,26,16161.647700737369,1.7229689655251559
14105,横浜市南区,神奈川,198157,12.645603773979865,8,15670.030750744882,0.6326309239944037
13120,練馬区,東京都,752608,48.09273352551245,21,15649.100078720896,0.43665640234111097
14103,横浜市西区,神奈川,104935,7.028043145254576,11,14930.898662859441,1.5651582912417576
11223,蕨市,埼玉県,74283,5.102972845019047,1,14556.80879675987,0.19596420172529205
11107,さいたま市浦和区,埼玉県,164822,11.503457256804193,3,14328.040372602702,0.26079116330227825
14134,川崎市高津区,神奈川,234328,16.376175734956124,7,14309.07946962306,0.4274502248444975
13123,江戸川区,東京都,697932,48.7965246862971,11,14302.9038335591,0.22542588987057494
11108,さいたま市南区,埼玉県,191563,13.830848887074596,3,13850.41522498465,0.21690642595362336
13203,武蔵野市,東京都,150149,10.890719172248495,5,13786.876479434579,0.4591065035209884
