code,fishery,manufacturing,agriculture,commerce,fishery_year,manufacturing_year,agriculture_year,commerce_year
08201,,5910.0,11810.0,25745.0,,2023100000,2006100000,2021100000
08202,,21821.0,1750.0,10400.0,,2023100000,2006100000,2021100000
08203,,15115.0,9680.0,11595.0,,2023100000,2006100000,2021100000
08204,,18368.0,14040.0,8972.0,,2023100000,2006100000,2021100000
08205,,5238.0,15770.0,4398.0,,2023100000,2006100000,2021100000
08206,,8725.0,7610.0,6344.0,,2004100000,2004100000,2004100000
08207,,6943.0,9640.0,3368.0,,2023100000,2006100000,2021100000
08208,,7739.0,3920.0,4637.0,,2023100000,2006100000,2021100000
08209,,3218.0,4260.0,2451.0,,1993100000,1993100000,1994100000
08210,,5735.0,9780.0,3335.0,,2023100000,2006100000,2021100000
08211,,12059.0,9200.0,3518.0,,2023100000,2006100000,2021100000
08212,,2131.0,5530.0,2443.0,,2023100000,2006100000,2021100000
08213,,19891.0,7160.0,8608.0,,1993100000,1993100000,1994100000
08214,,3060.0,1620.0,1785.0,,2023100000,2006100000,2021100000
08215,,7319.0,2220.0,2552.0,,2023100000,2006100000,2021100000
08216,,5950.0,7990.0,4203.0,,2023100000,2006100000,2021100000
08217,,7862.0,3000.0,5364.0,,2023100000,2006100000,2021100000
08218,,5056.0,15710.0,2564.0,,2004100000,2004100000,2004100000
08219,,4078.0,3090.0,4515.0,,2023100000,2006100000,2021100000
08220,,11496.0,12940.0,17010.0,,2023100000,2006100000,2021100000
08221,,23040.0,8620.0,10531.0,,2023100000,2006100000,2021100000
08222,,5284.0,4350.0,4252.0,,2023100000,2006100000,2021100000
08223,,1524.0,3900.0,1952.0,,2023100000,2006100000,2021100000
08224,,3718.0,1540.0,3652.0,,2023100000,2006100000,2021100000
08225,,4313.0,8500.0,2592.0,,2023100000,2006100000,2021100000
08226,,2480.0,4580.0,2871.0,,2023100000,2006100000,2021100000
08227,,14278.0,22820.0,6373.0,,2023100000,2006100000,2021100000
08228,,8083.0,21890.0,2991.0,,2023100000,2006100000,2021100000
08229,,4535.0,12790.0,2439.0,,2023100000,2006100000,2021100000
08230,,5209.0,10810.0,2149.0,,2023100000,2006100000,2021100000
08231,,4247.0,8400.0,2153.0,,2023100000,2006100000,2021100000
08232,,14175.0,13160.0,6373.0,,2023100000,2006100000,2021100000
08233,,2819.0,23540.0,1830.0,,2023100000,2006100000,2021100000
08234,,1329.0,53930.0,2606.0,,2023100000,2006100000,2021100000
08235,,6210.0,4350.0,2057.0,,2023100000,2006100000,2021100000
08236,,7155.0,19740.0,3084.0,,2023100000,2006100000,2021100000
08301,,401.0,3240.0,405.0,,1991100000,1991100000,1991100000
08302,,2349.0,14550.0,2959.0,,2023100000,2006100000,2021100000
08303,,1439.0,13690.0,851.0,,2005100000,2005100000,2004100000
08304,,3760.0,11330.0,1920.0,,2005100000,2005100000,2004100000
08305,,1365.0,3360.0,544.0,,2004100000,2004100000,2004100000
08306,,623.0,1760.0,611.0,,2004100000,2004100000,2004100000
08307,,338.0,1550.0,274.0,,2004100000,2004100000,2004100000
08308,,142.0,700.0,186.0,,2003100000,2003100000,2004100000
08309,,1055.0,1090.0,1054.0,,2023100000,2006100000,2021100000
08310,,895.0,3810.0,783.0,,2023100000,2006100000,2021100000
08321,,2217.0,2440.0,2373.0,,2005100000,2005100000,2004100000
08322,,3558.0,3150.0,1112.0,,2005100000,2005100000,2004100000
08323,,44.0,780.0,30.0,,2004100000,2004100000,2004100000
08324,,2057.0,4160.0,1580.0,,2004100000,2004100000,2004100000
08341,,1489.0,1950.0,1804.0,,2023100000,2006100000,2021100000
08342,,2398.0,4740.0,3070.0,,2004100000,2004100000,2004100000
08343,,121.0,520.0,416.0,,2004100000,2004100000,2004100000
08344,,3562.0,4460.0,2529.0,,2003100000,2003100000,2004100000
08345,,673.0,1210.0,375.0,,2003100000,2003100000,2004100000
08346,,280.0,440.0,171.0,,2003100000,2003100000,2004100000
08347,,279.0,1030.0,186.0,,2003100000,2003100000,2004100000
08361,,780.0,1730.0,359.0,,2003100000,2003100000,2004100000
08362,,224.0,790.0,264.0,,2003100000,2003100000,2004100000
08363,,297.0,700.0,185.0,,2003100000,2003100000,2004100000
08364,,826.0,3840.0,1065.0,,2023100000,2006100000,2021100000
08381,,845.0,790.0,350.0,,2003100000,2003100000,2004100000
08401,,288.0,22770.0,512.0,,2004100000,2004100000,2004100000
08402,,832.0,24350.0,2224.0,,2004100000,2004100000,2004100000
