lat,lng,women_40plus
36.392618,140.480577,712
36.383945,140.415162,1286
36.35852,140.534637,60
36.39451,140.443346,182
36.360968,140.488272,191
36.395817,140.452608,199
36.423371,140.355153,70
36.3693,140.390207,246
36.429256,140.417656,357
36.391507,140.428105,1543
36.394602,140.425669,11
36.379998,140.461139,166
36.448038,140.416761,150
36.383659,140.395207,1502
36.379079,140.469334,340
36.394898,140.380664,340
36.3418,140.450673,3249
36.377696,140.381754,68
36.384917,140.463168,353
36.418935,140.453781,74
36.444453,140.437027,287
36.389138,140.446595,795
36.344437,140.398284,107
36.36289,140.491484,36
36.376458,140.413683,2559
36.360071,140.406413,1564
36.378956,140.474709,67
36.382698,140.461092,428
36.343801,140.422779,793
36.363071,140.488396,47
36.384902,140.458309,326
36.337537,140.488658,567
36.338161,140.485606,2878
36.368531,140.482822,207
36.369223,140.472809,139
36.371767,140.484213,494
36.363085,140.506727,193
36.426933,140.434371,257
36.384953,140.44015,137
36.371886,140.488597,1469
36.366352,140.478063,390
36.363005,140.477239,541
36.385191,140.451014,595
36.392603,140.434076,737
36.378247,140.485798,119
36.39256,140.451871,454
36.333564,140.472442,909
36.363326,140.458753,5508
36.382014,140.451628,303
36.416567,140.404471,140
36.426039,140.447824,318
36.394947,140.45755,47
36.366602,140.472146,169
36.376266,140.460741,165
36.324346,140.450336,752
36.374866,140.454205,311
36.357482,140.542879,80
36.401791,140.459096,167
36.390001,140.408359,610
36.430198,140.393525,193
36.357411,140.520796,54
36.388252,140.441999,768
36.382007,140.47589,175
36.373193,140.468837,298
36.398438,140.442444,465
36.388138,140.459302,286
36.363215,140.498007,336
36.36725,140.502399,209
36.384646,140.428073,521
36.360516,140.527599,103
36.369224,140.499404,66
36.368736,140.495624,235
36.385942,140.447378,576
36.374294,140.463653,312
36.381854,140.431151,1503
36.403221,140.39979,631
36.327194,140.432796,2899
36.460938,140.39139,246
36.451064,140.39766,248
36.361284,140.484324,31
36.395612,140.406789,2189
36.401522,140.444327,165
36.400581,140.413971,3763
36.365824,140.496024,553
36.416969,140.378878,192
36.385865,140.436856,321
36.392324,140.455902,190
36.365968,140.440461,3132
36.35736,140.433773,1868
36.381843,140.444762,358
36.377089,140.467729,471
36.361277,140.481953,30
36.370351,140.4764,469
36.379129,140.440289,3364
36.325885,140.49995,684
36.357856,140.481671,121
36.378951,140.455517,249
36.352282,140.472555,5829
36.35432,140.505853,220
36.408294,140.36167,84
36.400893,140.468455,207
36.366675,140.490039,288
36.32851,140.461837,1152
36.362335,140.485933,28
36.366519,140.514426,392
36.341883,140.460731,300
36.37409,140.503318,664
36.377824,140.504014,22
36.408492,140.439715,1584
36.309982,140.530856,59
36.33461,140.540688,569
36.325866,140.525433,412
36.334467,140.571327,132
36.344234,140.519764,327
36.342779,140.569949,134
36.333533,140.552861,270
36.321061,140.551146,169
36.309648,140.517253,181
36.349053,140.550757,257
36.341122,140.534185,614
36.342886,140.530889,362
36.324956,140.562628,129
36.312956,140.507292,83
36.345341,140.506321,658
36.351836,140.512931,170
36.337244,140.365533,1242
36.347568,140.351796,144
36.334508,140.395187,63
36.324832,140.384131,74
36.381296,140.35665,198
36.38404,140.338223,317
36.370333,140.344277,210
36.372255,140.353001,142
36.365034,140.360103,1181
36.356578,140.348501,231
36.383498,140.36983,277
36.388579,140.353123,216
36.392327,140.359236,40
36.391104,140.364261,44
36.396413,140.369114,75
36.371,140.375656,82
36.363305,140.373641,74
36.397608,140.360548,7
36.374097,140.336522,8
36.662237,140.697147,2565
36.652007,140.688998,396
36.65859,140.668665,323
36.6295,140.660299,720
36.635249,140.64904,3117
36.647717,140.656247,1913
36.634687,140.681829,1146
36.643335,140.581263,89
36.664147,140.560999,52
36.642004,140.533472,193
36.628438,140.562226,152
36.602833,140.624967,865
36.623727,140.617773,425
36.603234,140.65761,511
36.607066,140.663268,909
36.600351,140.659348,292
36.595376,140.660726,107
36.589,140.647708,518
36.587891,140.650526,463
36.585047,140.654674,213
36.590935,140.663346,228
36.581769,140.659464,135
36.577545,140.65672,994
36.584632,140.636457,634
36.607011,140.6428,1022
36.610944,140.648335,211
36.601323,140.670022,660
36.571938,140.646873,520
36.573384,140.641515,868
36.578351,140.62317,1974
36.626057,140.646735,880
36.623537,140.663633,1320
36.616901,140.679024,701
36.554593,140.633062,650
36.562367,140.633251,584
36.55895,140.619942,830
36.559666,140.599998,1217
36.551173,140.626195,598
36.56634,140.642302,1013
