code,city,area_type,nearest_road_m,road_bonus
11101,さいたま市西区,郊外住宅,466.0,1.3
11102,さいたま市北区,超都心,21.0,1.0
11103,さいたま市大宮区,超都心,553.0,1.0
11104,さいたま市見沼区,郊外住宅,1958.0,0.85
11105,さいたま市中央区,超都心,676.0,1.0
11106,さいたま市桜区,郊外住宅,124.0,1.3
11107,さいたま市浦和区,都心住宅,447.0,1.0
11108,さいたま市南区,都心住宅,583.0,1.0
11109,さいたま市緑区,郊外住宅,23.0,1.3
11110,さいたま市岩槻区,郊外住宅,198.0,1.3
11201,川越市,郊外住宅,824.0,1.15
11202,熊谷市,ロードサイド,156.0,1.3
11203,川口市,都心住宅,163.0,1.0
11206,行田市,ロードサイド,971.0,1.15
11207,秩父市,ロードサイド,769.0,1.15
11208,所沢市,郊外住宅,69.0,1.3
11209,飯能市,ロードサイド,2402.0,0.85
11210,加須市,ロードサイド,1092.0,0.85
11211,本庄市,ロードサイド,673.0,1.15
11212,東松山市,ロードサイド,356.0,1.3
11214,春日部市,郊外住宅,952.0,1.15
11215,狭山市,郊外住宅,877.0,1.15
11216,羽生市,ロードサイド,2476.0,0.85
11217,鴻巣市,ロードサイド,771.0,1.15
11218,深谷市,ロードサイド,1732.0,0.85
11219,上尾市,郊外住宅,1256.0,0.85
11221,草加市,都心住宅,199.0,1.0
11222,越谷市,都心住宅,657.0,1.0
11223,蕨市,都心住宅,606.0,1.0
11224,戸田市,都心住宅,668.0,1.0
11225,入間市,郊外住宅,693.0,1.15
11227,朝霞市,都心住宅,869.0,1.0
11228,志木市,都心住宅,1.0,1.0
11229,和光市,都心住宅,375.0,1.0
11230,新座市,郊外住宅,812.0,1.15
11231,桶川市,郊外住宅,1418.0,0.85
11232,久喜市,ロードサイド,2656.0,0.85
11233,北本市,郊外住宅,1442.0,0.85
11234,八潮市,郊外住宅,98.0,1.3
11235,富士見市,都心住宅,135.0,1.0
11237,三郷市,郊外住宅,506.0,1.15
11238,蓮田市,郊外住宅,140.0,1.3
