code,city,pref,area_type,trade_radius_km,total_pop,women_40plus,residential_ratio,pop_density,station_density,nearest_station_m,nearest_road_m,station_bonus,road_bonus,location_bonus,comp_in_radius,comp_penalty,barrier_factor,border_bonus,base_score,score_v2,score_v3,score_v4,rank_v3,rank_v4,rank_chg
13209,町田市,東京都,都心住宅,2.0,431079,139598,0.2111,6026.0958,0.1398,2456.0,506.0,1.0,1.0,1.0,0,1.0,1.0,1.1,2345.0795,11.0,11.0,100.0,14.0,1.0,13
13109,品川区,東京都,超都心,1.0,422488,114887,0.0483,18533.9667,1.4915,258.0,762.0,1.3,1.0,1.3,1,0.85,1.0,1.0,1766.315,1.4,1.2,75.7,61.0,2.0,59
14135,川崎市多摩区,神奈川,超都心,1.0,221734,57853,0.091,10822.1443,0.4393,874.0,124.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1675.7815,0.6,0.5,65.0,103.0,3.0,100
13201,八王子市,東京都,郊外住宅,3.0,579355,177905,0.4906,3109.0103,0.1234,1992.0,392.0,1.0,1.3,1.3,5,0.3,1.3,1.0,3086.9054,34.9,29.0,60.7,5.0,4.0,1
13113,渋谷区,東京都,超都心,1.0,243883,65881,0.0879,16161.6477,1.723,573.0,669.0,1.0,1.0,1.0,1,0.85,1.0,1.0,1843.3134,0.6,0.4,60.7,111.0,4.0,107
14109,横浜市港北区,神奈川,超都心,1.0,358530,99498,0.0575,11421.5033,0.5416,933.0,929.0,1.0,1.0,1.0,1,0.85,1.0,1.0,1821.0938,0.8,0.6,60.0,94.0,6.0,88
12207,松戸市,千葉県,超都心,1.0,498232,153533,0.0298,8121.8909,0.3749,716.0,1541.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1456.3579,0.4,0.4,56.5,111.0,7.0,104
13120,練馬区,東京都,超都心,1.0,752608,217417,0.0204,15649.1001,0.4367,778.0,110.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1411.802,0.7,0.6,54.7,94.0,8.0,86
13112,世田谷区,東京都,超都心,1.0,943664,289020,0.0153,16251.1304,0.6889,1132.0,35.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1407.5682,0.3,0.2,54.6,137.0,9.0,128
13103,港区,東京都,超都心,1.0,260486,76170,0.0483,12694.3017,1.9493,456.0,422.0,1.15,1.0,1.15,0,1.0,1.0,1.0,1171.0656,1.2,1.2,52.2,61.0,10.0,51
14212,厚木市,神奈川,郊外住宅,3.0,223705,67054,0.299,2384.8928,0.0213,4428.0,495.0,1.0,1.3,1.3,0,1.0,1.3,1.0,709.0935,8.2,8.2,46.5,20.0,11.0,9
