code,city,area_type,nearest_station_m,station_bonus
11101,さいたま市西区,郊外住宅,1251.0,1.0
11102,さいたま市北区,超都心,409.0,1.15
11103,さいたま市大宮区,超都心,43.0,1.3
11104,さいたま市見沼区,郊外住宅,1039.0,1.0
11105,さいたま市中央区,超都心,112.0,1.3
11106,さいたま市桜区,郊外住宅,2308.0,1.0
11107,さいたま市浦和区,都心住宅,658.0,1.0
11108,さいたま市南区,都心住宅,811.0,1.0
11109,さいたま市緑区,郊外住宅,2285.0,1.0
11110,さいたま市岩槻区,郊外住宅,1938.0,1.0
11201,川越市,郊外住宅,326.0,1.0
11202,熊谷市,ロードサイド,1428.0,1.0
11203,川口市,都心住宅,377.0,1.15
11206,行田市,ロードサイド,156.0,1.0
11207,秩父市,ロードサイド,4114.0,1.0
11208,所沢市,郊外住宅,716.0,1.0
11209,飯能市,ロードサイド,2331.0,1.0
11210,加須市,ロードサイド,2659.0,1.0
11211,本庄市,ロードサイド,1179.0,1.0
11212,東松山市,ロードサイド,979.0,1.0
11214,春日部市,郊外住宅,339.0,1.0
11215,狭山市,郊外住宅,702.0,1.0
11216,羽生市,ロードサイド,1763.0,1.0
11217,鴻巣市,ロードサイド,2249.0,1.0
11218,深谷市,ロードサイド,1837.0,1.0
11219,上尾市,郊外住宅,698.0,1.0
11221,草加市,都心住宅,542.0,1.0
11222,越谷市,都心住宅,942.0,1.0
11223,蕨市,都心住宅,558.0,1.0
11224,戸田市,都心住宅,1184.0,1.0
11225,入間市,郊外住宅,2291.0,1.0
11227,朝霞市,都心住宅,1119.0,1.0
11228,志木市,都心住宅,1806.0,1.0
11229,和光市,都心住宅,655.0,1.0
11230,新座市,郊外住宅,1616.0,1.0
11231,桶川市,郊外住宅,1345.0,1.0
11232,久喜市,ロードサイド,2245.0,1.0
11233,北本市,郊外住宅,685.0,1.0
11234,八潮市,郊外住宅,1371.0,1.0
11235,富士見市,都心住宅,1669.0,1.0
11237,三郷市,郊外住宅,1030.0,1.0
11238,蓮田市,郊外住宅,2249.0,1.0
11239,坂戸市,郊外住宅,926.0,1.0
11240,幸手市,ロードサイド,2316.0,1.0
11241,鶴ヶ島市,郊外住宅,1965.0,1.0
11242,日高市,ロードサイド,120.0,1.0
11243,吉川市,郊外住宅,2588.0,1.0
11245,ふじみ野市,郊外住宅,852.0,1.0
11246,白岡市,郊外住宅,752.0,1.0
11301,伊奈町,郊外住宅,299.0,1.0
11324,三芳町,郊外住宅,2561.0,1.0
11326,毛呂山町,ロードサイド,624.0,1.0
11327,越生町,ロードサイド,3006.0,1.0
11341,滑川町,ロードサイド,3127.0,1.0
11342,嵐山町,ロードサイド,1773.0,1.0
11343,小川町,ロードサイド,1187.0,1.0
11346,川島町,ロードサイド,6941.0,1.0
11347,吉見町,ロードサイド,4952.0,1.0
11348,鳩山町,ロードサイド,4187.0,1.0
11349,ときがわ町,ロードサイド,4308.0,1.0
