code,city,pref,area_km2
08201,水戸市,茨城県,217.109
08202,日立市,茨城県,225.708
08203,土浦市,茨城県,122.873
08204,古河市,茨城県,123.558
08205,石岡市,茨城県,215.492
08207,結城市,茨城県,65.749
08208,龍ケ崎市,茨城県,78.577
08210,下妻市,茨城県,80.861
08211,常総市,茨城県,123.612
08212,常陸太田市,茨城県,371.946
08214,高萩市,茨城県,193.538
08215,北茨城市,茨城県,186.778
08216,笠間市,茨城県,240.363
08217,取手市,茨城県,69.926
08219,牛久市,茨城県,58.909
08220,つくば市,茨城県,283.666
08221,ひたちなか市,茨城県,100.246
08222,鹿嶋市,茨城県,106.032
08223,潮来市,茨城県,71.394
08224,守谷市,茨城県,35.704
08225,常陸大宮市,茨城県,348.399
08226,那珂市,茨城県,97.807
08227,筑西市,茨城県,205.264
08228,坂東市,茨城県,123.004
08229,稲敷市,茨城県,205.776
08230,かすみがうら市,茨城県,156.573
08231,桜川市,茨城県,180.031
08232,神栖市,茨城県,146.962
08233,行方市,茨城県,222.456
08234,鉾田市,茨城県,207.582
08235,つくばみらい市,茨城県,79.144
08236,小美玉市,茨城県,144.716
08302,茨城町,茨城県,121.743
08309,大洗町,茨城県,23.891
08310,城里町,茨城県,161.78
08341,東海村,茨城県,38.012
08364,大子町,茨城県,325.716
08442,美浦村,茨城県,66.597
08443,阿見町,茨城県,71.384
08447,河内町,茨城県,44.289
08521,八千代町,茨城県,58.98
08542,五霞町,茨城県,23.103
08546,境町,茨城県,46.583
08564,利根町,茨城県,24.855
09201,宇都宮市,栃木県,416.765
09202,足利市,栃木県,177.731
09203,栃木市,栃木県,331.433
09204,佐野市,栃木県,355.978
09205,鹿沼市,栃木県,490.545
09206,日光市,栃木県,1449.561
09208,小山市,栃木県,171.72
09209,真岡市,栃木県,167.304
09210,大田原市,栃木県,354.293
09211,矢板市,栃木県,170.427
09213,那須塩原市,栃木県,592.627
09214,さくら市,栃木県,125.601
09215,那須烏山市,栃木県,174.314
09216,下野市,栃木県,74.577
09301,上三川町,栃木県,54.375
09342,益子町,栃木県,89.381
09343,茂木町,栃木県,172.665
09344,市貝町,栃木県,64.237
09345,芳賀町,栃木県,70.146
09361,壬生町,栃木県,61.047
09364,野木町,栃木県,30.262
09384,塩谷町,栃木県,176.022
09386,高根沢町,栃木県,70.852
09407,那須町,栃木県,372.275
09411,那珂川町,栃木県,192.746
10201,前橋市,群馬県,311.562
10202,高崎市,群馬県,459.721
10203,桐生市,群馬県,274.412
10204,伊勢崎市,群馬県,139.422
10205,太田市,群馬県,175.511
10206,沼田市,群馬県,443.406
10207,館林市,群馬県,60.955
