code,city,pref,total_pop,women_40plus,area_km2
08201,水戸市,茨城県,270685,84959,217.109
08202,日立市,茨城県,174508,59595,225.708
08203,土浦市,茨城県,142074,45391,122.873
08204,古河市,茨城県,139344,44418,123.558
08205,石岡市,茨城県,73061,25021,215.492
08207,結城市,茨城県,50645,16446,65.749
08208,龍ケ崎市,茨城県,76420,24977,78.577
08210,下妻市,茨城県,42521,13530,80.861
08211,常総市,茨城県,60834,19850,123.612
08212,常陸太田市,茨城県,48602,18377,371.946
08214,高萩市,茨城県,27699,9727,193.538
08215,北茨城市,茨城県,41801,14600,186.778
08216,笠間市,茨城県,73173,25084,240.363
08217,取手市,茨城県,104524,36488,69.926
08219,牛久市,茨城県,84651,27382,58.909
08220,つくば市,茨城県,241656,61071,283.666
08221,ひたちなか市,茨城県,156581,48134,100.246
08222,鹿嶋市,茨城県,66950,20973,106.032
08223,潮来市,茨城県,27604,9431,71.394
08224,守谷市,茨城県,68421,20003,35.704
08225,常陸大宮市,茨城県,39267,14133,348.399
08226,那珂市,茨城県,53502,18388,97.807
08227,筑西市,茨城県,100753,34238,205.264
08228,坂東市,茨城県,52265,16824,123.004
08229,稲敷市,茨城県,39039,14219,205.776
08230,かすみがうら市,茨城県,40087,13285,156.573
08231,桜川市,茨城県,39122,13981,180.031
08232,神栖市,茨城県,95454,27820,146.962
08233,行方市,茨城県,32185,11376,222.456
08234,鉾田市,茨城県,45953,15153,207.582
08235,つくばみらい市,茨城県,49872,14656,79.144
08236,小美玉市,茨城県,48870,15802,144.716
08302,茨城町,茨城県,31401,11069,121.743
08309,大洗町,茨城県,15715,5499,23.891
08310,城里町,茨城県,18097,6784,161.78
08341,東海村,茨城県,37891,11519,38.012
08364,大子町,茨城県,15736,6377,325.716
08442,美浦村,茨城県,14602,4978,66.597
08443,阿見町,茨城県,48553,15011,71.384
08447,河内町,茨城県,8231,3141,44.289
08521,八千代町,茨城県,21026,6720,58.98
08542,五霞町,茨城県,8093,2789,23.103
08546,境町,茨城県,24201,7590,46.583
08564,利根町,茨城県,15340,6003,24.855
09201,宇都宮市,栃木県,518757,157491,416.765
09202,足利市,栃木県,144746,49913,177.731
09203,栃木市,栃木県,155549,52260,331.433
09204,佐野市,栃木県,116228,38738,355.978
09205,鹿沼市,栃木県,94033,31498,490.545
09206,日光市,栃木県,77661,28286,1449.561
09208,小山市,栃木県,166666,50179,171.72
09209,真岡市,栃木県,78190,24094,167.304
09210,大田原市,栃木県,72087,22732,354.293
09211,矢板市,栃木県,31165,10876,170.427
09213,那須塩原市,栃木県,115210,36587,592.627
09214,さくら市,栃木県,44513,13291,125.601
09215,那須烏山市,栃木県,24875,9092,174.314
09216,下野市,栃木県,59507,17938,74.577
09301,上三川町,栃木県,30806,9114,54.375
09342,益子町,栃木県,21898,7473,89.381
09343,茂木町,栃木県,11891,4624,172.665
09344,市貝町,栃木県,11262,3660,64.237
09345,芳賀町,栃木県,14961,4915,70.146
09361,壬生町,栃木県,39474,12568,61.047
09364,野木町,栃木県,24913,8329,30.262
09384,塩谷町,栃木県,10354,3897,176.022
09386,高根沢町,栃木県,29229,8670,70.852
09407,那須町,栃木県,23956,8901,372.275
09411,那珂川町,栃木県,15215,5600,192.746
10201,前橋市,群馬県,332149,106618,311.562
10202,高崎市,群馬県,372973,120063,459.721
10203,桐生市,群馬県,106445,39700,274.412
10204,伊勢崎市,群馬県,211850,63799,139.422
10205,太田市,群馬県,223014,66598,175.511
10206,沼田市,群馬県,45337,16297,443.406
10207,館林市,群馬県,75309,24798,60.955
10208,渋川市,群馬県,74581,26663,240.251
10209,藤岡市,群馬県,63261,21959,180.28
10210,富岡市,群馬県,47446,16600,122.845
10211,安中市,群馬県,54907,20053,276.311
10212,みどり市,群馬県,49648,16358,208.391
10344,榛東村,群馬県,14216,4381,27.35
10345,吉岡町,群馬県,21792,6505,20.457
10366,上野村,群馬県,1128,391,181.857
10367,神流町,群馬県,1645,759,114.594
10382,下仁田町,群馬県,6576,2763,188.385
10383,南牧村,群馬県,1611,777,118.833
10384,甘楽町,群馬県,12491,4343,58.605
10421,中之条町,群馬県,15386,5858,439.302
10424,長野原町,群馬県,5095,1923,133.862
10425,嬬恋村,群馬県,8850,3205,338.486
10426,草津町,群馬県,6049,2124,48.9
10428,高山村,群馬県,3511,1259,64.174
10429,東吾妻町,群馬県,12728,4818,253.914
10443,片品村,群馬県,3993,1578,391.704
10444,川場村,群馬県,3480,1431,85.238
10448,昭和村,群馬県,6953,2298,64.139
10449,みなかみ町,群馬県,17195,6677,781.033
10464,玉村町,群馬県,36054,11094,25.773
10521,板倉町,群馬県,14083,4831,41.848
10522,明和町,群馬県,10882,3508,19.638
10523,千代田町,群馬県,10861,3588,21.724
10524,大泉町,群馬県,42089,11695,18.025
10525,邑楽町,群馬県,25522,8542,31.1
11101,さいたま市西区,埼玉県,93499,28604,29.11
11102,さいたま市北区,埼玉県,149242,43567,16.854
11103,さいたま市大宮区,埼玉県,117784,34740,12.8
11104,さいたま市見沼区,埼玉県,165049,51847,30.679
11105,さいたま市中央区,埼玉県,103269,29956,8.388
